asset_type,asset_name,annual_return,annual_volatility,correlation_group,liquidity
crypto,bitcoin,0.35,0.7,crypto,high
crypto,ethereum,0.4,0.8,crypto,high
crypto,solana,0.5,1.0,crypto,medium
crypto,stablecoin,0.05,0.01,stable,high
nft,bored_ape,0.5,1.2,nft_blue_chip,low
nft,cryptopunk,0.4,1.0,nft_blue_chip,low
nft,art_blocks,0.3,0.9,nft_art,low
real_estate,residential,0.08,0.12,real_assets,very_low
real_estate,commercial,0.07,0.15,real_assets,very_low
real_estate,reit,0.09,0.2,hybrid,medium
collectible,art,0.06,0.15,collectible,very_low
collectible,watches,0.08,0.12,collectible,low
collectible,wine,0.07,0.1,collectible,low
traditional,us_stocks,0.1,0.18,equity,high
traditional,global_stocks,0.09,0.2,equity,high
traditional,bonds,0.04,0.05,fixed_income,high
traditional,commodities,0.06,0.25,commodities,high
traditional,cash,0.02,0.01,stable,very_high
